"idx","title","value","genres"
20,"Money Train (1995)",1,"Comedy"
20,"Money Train (1995)",1,"Crime"
20,"Money Train (1995)",1,"Drama"
20,"Money Train (1995)",1,"Thriller"
21,"Get Shorty (1995)",1,"Comedy"
21,"Get Shorty (1995)",1,"Crime"
21,"Get Shorty (1995)",1,"Thriller"
22,"Copycat (1995)",1,"Crime"
22,"Copycat (1995)",1,"Drama"
22,"Copycat (1995)",1,"Horror"
22,"Copycat (1995)",1,"Mystery"
22,"Copycat (1995)",1,"Thriller"
23,"Assassins (1995)",1,"Action"
23,"Assassins (1995)",1,"Crime"
23,"Assassins (1995)",1,"Thriller"
24,"Powder (1995)",1,"Drama"
24,"Powder (1995)",1,"Sci-Fi"
25,"Leaving Las Vegas (1995)",1,"Drama"
25,"Leaving Las Vegas (1995)",1,"Romance"
26,"Othello (1995)",1,"Drama"
27,"Now and Then (1995)",1,"Children"
27,"Now and Then (1995)",1,"Drama"
28,"Persuasion (1995)",1,"Drama"
28,"Persuasion (1995)",1,"Romance"
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1,"Adventure"
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1,"Drama"
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1,"Fantasy"
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1,"Mystery"
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1,"Sci-Fi"
30,"Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)",1,"Crime"
30,"Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)",1,"Drama"
31,"Dangerous Minds (1995)",1,"Drama"
32,"Twelve Monkeys (a.k.a. 12 Monkeys) (1995)",1,"Mystery"
32,"Twelve Monkeys (a.k.a. 12 Monkeys) (1995)",1,"Sci-Fi"
32,"Twelve Monkeys (a.k.a. 12 Monkeys) (1995)",1,"Thriller"
33,"Babe (1995)",1,"Children"
33,"Babe (1995)",1,"Drama"
34,"Dead Man Walking (1995)",1,"Crime"
34,"Dead Man Walking (1995)",1,"Drama"
35,"It Takes Two (1995)",1,"Children"
35,"It Takes Two (1995)",1,"Comedy"
36,"Clueless (1995)",1,"Comedy"
36,"Clueless (1995)",1,"Romance"
37,"Cry, the Beloved Country (1995)",1,"Drama"
38,"Richard III (1995)",1,"Drama"
38,"Richard III (1995)",1,"War"
39,"Dead Presidents (1995)",1,"Action"
39,"Dead Presidents (1995)",1,"Crime"
39,"Dead Presidents (1995)",1,"Drama"
40,"Restoration (1995)",1,"Drama"
41,"Mortal Kombat (1995)",1,"Action"
41,"Mortal Kombat (1995)",1,"Adventure"
41,"Mortal Kombat (1995)",1,"Fantasy"
42,"To Die For (1995)",1,"Comedy"
42,"To Die For (1995)",1,"Drama"
42,"To Die For (1995)",1,"Thriller"
43,"How to Make an American Quilt (1995)",1,"Drama"
43,"How to Make an American Quilt (1995)",1,"Romance"
44,"Seven (a.k.a. Se7en) (1995)",1,"Mystery"
44,"Seven (a.k.a. Se7en) (1995)",1,"Thriller"
45,"Pocahontas (1995)",1,"Animation"
45,"Pocahontas (1995)",1,"Children"
45,"Pocahontas (1995)",1,"Drama"
45,"Pocahontas (1995)",1,"Musical"
45,"Pocahontas (1995)",1,"Romance"
46,"When Night Is Falling (1995)",1,"Drama"
46,"When Night Is Falling (1995)",1,"Romance"
47,"Usual Suspects, The (1995)",1,"Crime"
47,"Usual Suspects, The (1995)",1,"Mystery"
47,"Usual Suspects, The (1995)",1,"Thriller"
48,"Mighty Aphrodite (1995)",1,"Comedy"
48,"Mighty Aphrodite (1995)",1,"Drama"
48,"Mighty Aphrodite (1995)",1,"Romance"
49,"Lamerica (1994)",1,"Adventure"
49,"Lamerica (1994)",1,"Drama"
50,"Big Green, The (1995)",1,"Children"
50,"Big Green, The (1995)",1,"Comedy"
51,"Georgia (1995)",1,"Drama"
52,"Home for the Holidays (1995)",1,"Drama"
53,"Postman, The (Postino, Il) (1994)",1,"Comedy"
53,"Postman, The (Postino, Il) (1994)",1,"Drama"
53,"Postman, The (Postino, Il) (1994)",1,"Romance"
54,"Indian in the Cupboard, The (1995)",1,"Adventure"
54,"Indian in the Cupboard, The (1995)",1,"Children"
54,"Indian in the Cupboard, The (1995)",1,"Fantasy"
55,"Eye for an Eye (1996)",1,"Drama"
55,"Eye for an Eye (1996)",1,"Thriller"
56,"Mr. Holland's Opus (1995)",1,"Drama"
57,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)",1,"Comedy"
57,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)",1,"Crime"
58,"Two if by Sea (1996)",1,"Comedy"
58,"Two if by Sea (1996)",1,"Romance"
59,"Bio-Dome (1996)",1,"Comedy"
60,"Lawnmower Man 2: Beyond Cyberspace (1996)",1,"Action"
60,"Lawnmower Man 2: Beyond Cyberspace (1996)",1,"Sci-Fi"
60,"Lawnmower Man 2: Beyond Cyberspace (1996)",1,"Thriller"
61,"French Twist (Gazon maudit) (1995)",1,"Comedy"
61,"French Twist (Gazon maudit) (1995)",1,"Romance"
62,"Friday (1995)",1,"Comedy"
63,"From Dusk Till Dawn (1996)",1,"Action"
63,"From Dusk Till Dawn (1996)",1,"Comedy"
63,"From Dusk Till Dawn (1996)",1,"Horror"
63,"From Dusk Till Dawn (1996)",1,"Thriller"
64,"Fair Game (1995)",1,"Action"
65,"Kicking and Screaming (1995)",1,"Comedy"
65,"Kicking and Screaming (1995)",1,"Drama"
66,"Misérables, Les (1995)",1,"Drama"
66,"Misérables, Les (1995)",1,"War"
67,"Bed of Roses (1996)",1,"Drama"
67,"Bed of Roses (1996)",1,"Romance"
68,"Big Bully (1996)",1,"Comedy"
68,"Big Bully (1996)",1,"Drama"
69,"Screamers (1995)",1,"Action"
69,"Screamers (1995)",1,"Sci-Fi"
69,"Screamers (1995)",1,"Thriller"
70,"Nico Icon (1995)",1,"Documentary"
71,"Crossing Guard, The (1995)",1,"Action"
71,"Crossing Guard, The (1995)",1,"Crime"
71,"Crossing Guard, The (1995)",1,"Drama"
71,"Crossing Guard, The (1995)",1,"Thriller"
72,"Juror, The (1996)",1,"Drama"
72,"Juror, The (1996)",1,"Thriller"
73,"White Balloon, The (Badkonake sefid) (1995)",1,"Children"
73,"White Balloon, The (Badkonake sefid) (1995)",1,"Drama"
74,"Things to Do in Denver When You're Dead (1995)",1,"Crime"
74,"Things to Do in Denver When You're Dead (1995)",1,"Drama"
74,"Things to Do in Denver When You're Dead (1995)",1,"Romance"
75,"Antonia's Line (Antonia) (1995)",1,"Comedy"
75,"Antonia's Line (Antonia) (1995)",1,"Drama"
76,"Once Upon a Time... When We Were Colored (1995)",1,"Drama"
76,"Once Upon a Time... When We Were Colored (1995)",1,"Romance"
77,"Angels and Insects (1995)",1,"Drama"
77,"Angels and Insects (1995)",1,"Romance"
78,"White Squall (1996)",1,"Action"
78,"White Squall (1996)",1,"Adventure"
78,"White Squall (1996)",1,"Drama"
79,"Dunston Checks In (1996)",1,"Children"
79,"Dunston Checks In (1996)",1,"Comedy"
80,"Black Sheep (1996)",1,"Comedy"
81,"Nick of Time (1995)",1,"Action"
81,"Nick of Time (1995)",1,"Thriller"
82,"Mary Reilly (1996)",1,"Drama"
82,"Mary Reilly (1996)",1,"Horror"
82,"Mary Reilly (1996)",1,"Thriller"
83,"Vampire in Brooklyn (1995)",1,"Comedy"
83,"Vampire in Brooklyn (1995)",1,"Horror"
83,"Vampire in Brooklyn (1995)",1,"Romance"
84,"Beautiful Girls (1996)",1,"Comedy"
84,"Beautiful Girls (1996)",1,"Drama"
84,"Beautiful Girls (1996)",1,"Romance"
85,"Broken Arrow (1996)",1,"Action"
85,"Broken Arrow (1996)",1,"Adventure"
85,"Broken Arrow (1996)",1,"Thriller"
86,"In the Bleak Midwinter (1995)",1,"Comedy"
86,"In the Bleak Midwinter (1995)",1,"Drama"
87,"Hate (Haine, La) (1995)",1,"Crime"
87,"Hate (Haine, La) (1995)",1,"Drama"
88,"Heidi Fleiss: Hollywood Madam (1995)",1,"Documentary"
89,"City Hall (1996)",1,"Drama"
89,"City Hall (1996)",1,"Thriller"
90,"Bottle Rocket (1996)",1,"Adventure"
90,"Bottle Rocket (1996)",1,"Comedy"
90,"Bottle Rocket (1996)",1,"Crime"
90,"Bottle Rocket (1996)",1,"Romance"
91,"Mr. Wrong (1996)",1,"Comedy"
92,"Unforgettable (1996)",1,"Mystery"
92,"Unforgettable (1996)",1,"Sci-Fi"
92,"Unforgettable (1996)",1,"Thriller"
93,"Happy Gilmore (1996)",1,"Comedy"
94,"Bridges of Madison County, The (1995)",1,"Drama"
94,"Bridges of Madison County, The (1995)",1,"Romance"
95,"Nobody Loves Me (Keiner liebt mich) (1994)",1,"Comedy"
95,"Nobody Loves Me (Keiner liebt mich) (1994)",1,"Drama"
96,"Muppet Treasure Island (1996)",1,"Adventure"
96,"Muppet Treasure Island (1996)",1,"Children"
96,"Muppet Treasure Island (1996)",1,"Comedy"
96,"Muppet Treasure Island (1996)",1,"Musical"
97,"Catwalk (1996)",1,"Documentary"
98,"Braveheart (1995)",1,"Action"
98,"Braveheart (1995)",1,"Drama"
98,"Braveheart (1995)",1,"War"
99,"Taxi Driver (1976)",1,"Crime"
99,"Taxi Driver (1976)",1,"Drama"
99,"Taxi Driver (1976)",1,"Thriller"
100,"Rumble in the Bronx (Hont faan kui) (1995)",1,"Action"
100,"Rumble in the Bronx (Hont faan kui) (1995)",1,"Adventure"
100,"Rumble in the Bronx (Hont faan kui) (1995)",1,"Comedy"
100,"Rumble in the Bronx (Hont faan kui) (1995)",1,"Crime"
101,"Before and After (1996)",1,"Drama"
101,"Before and After (1996)",1,"Mystery"
102,"Anne Frank Remembered (1995)",1,"Documentary"
103,"Young Poisoner's Handbook, The (1995)",1,"Crime"
103,"Young Poisoner's Handbook, The (1995)",1,"Drama"
104,"If Lucy Fell (1996)",1,"Comedy"
104,"If Lucy Fell (1996)",1,"Romance"
105,"Steal Big, Steal Little (1995)",1,"Comedy"
106,"Boys of St. Vincent, The (1992)",1,"Drama"
107,"Boomerang (1992)",1,"Comedy"
107,"Boomerang (1992)",1,"Romance"
108,"Chungking Express (Chung Hing sam lam) (1994)",1,"Drama"
108,"Chungking Express (Chung Hing sam lam) (1994)",1,"Mystery"
108,"Chungking Express (Chung Hing sam lam) (1994)",1,"Romance"
109,"Flirting With Disaster (1996)",1,"Comedy"
110,"NeverEnding Story III, The (1994)",1,"Adventure"
110,"NeverEnding Story III, The (1994)",1,"Children"
110,"NeverEnding Story III, The (1994)",1,"Fantasy"
111,"Jupiter's Wife (1994)",1,"Documentary"
112,"Pie in the Sky (1996)",1,"Comedy"
112,"Pie in the Sky (1996)",1,"Romance"
113,"Jade (1995)",1,"Thriller"
114,"Down Periscope (1996)",1,"Comedy"
115,"Man of the Year (1995)",1,"Documentary"
116,"Up Close and Personal (1996)",1,"Drama"
116,"Up Close and Personal (1996)",1,"Romance"
117,"Birdcage, The (1996)",1,"Comedy"
118,"Brothers McMullen, The (1995)",1,"Comedy"
119,"Bad Boys (1995)",1,"Action"
119,"Bad Boys (1995)",1,"Comedy"
119,"Bad Boys (1995)",1,"Crime"
119,"Bad Boys (1995)",1,"Drama"
119,"Bad Boys (1995)",1,"Thriller"
120,"Amazing Panda Adventure, The (1995)",1,"Adventure"
120,"Amazing Panda Adventure, The (1995)",1,"Children"
121,"Basketball Diaries, The (1995)",1,"Drama"
122,"Awfully Big Adventure, An (1995)",1,"Drama"
123,"Amateur (1994)",1,"Crime"
123,"Amateur (1994)",1,"Drama"
123,"Amateur (1994)",1,"Thriller"
124,"Apollo 13 (1995)",1,"Adventure"
124,"Apollo 13 (1995)",1,"Drama"
124,"Apollo 13 (1995)",1,"IMAX"
125,"Rob Roy (1995)",1,"Action"
125,"Rob Roy (1995)",1,"Drama"
125,"Rob Roy (1995)",1,"Romance"
125,"Rob Roy (1995)",1,"War"
126,"Addiction, The (1995)",1,"Drama"
126,"Addiction, The (1995)",1,"Horror"
127,"Batman Forever (1995)",1,"Action"
127,"Batman Forever (1995)",1,"Adventure"
127,"Batman Forever (1995)",1,"Comedy"
127,"Batman Forever (1995)",1,"Crime"
128,"Beauty of the Day (Belle de jour) (1967)",1,"Drama"
129,"Beyond Rangoon (1995)",1,"Adventure"
129,"Beyond Rangoon (1995)",1,"Drama"
129,"Beyond Rangoon (1995)",1,"War"
130,"Blue in the Face (1995)",1,"Comedy"
130,"Blue in the Face (1995)",1,"Drama"
131,"Canadian Bacon (1995)",1,"Comedy"
131,"Canadian Bacon (1995)",1,"War"
132,"Casper (1995)",1,"Adventure"
132,"Casper (1995)",1,"Children"
133,"Clockers (1995)",1,"Crime"
133,"Clockers (1995)",1,"Drama"
133,"Clockers (1995)",1,"Mystery"
134,"Congo (1995)",1,"Action"
134,"Congo (1995)",1,"Adventure"
134,"Congo (1995)",1,"Mystery"
134,"Congo (1995)",1,"Sci-Fi"
135,"Crimson Tide (1995)",1,"Drama"
135,"Crimson Tide (1995)",1,"Thriller"
135,"Crimson Tide (1995)",1,"War"
136,"Crumb (1994)",1,"Documentary"
137,"Desperado (1995)",1,"Action"
137,"Desperado (1995)",1,"Romance"
137,"Desperado (1995)",1,"Western"
138,"Devil in a Blue Dress (1995)",1,"Crime"
138,"Devil in a Blue Dress (1995)",1,"Film-Noir"
138,"Devil in a Blue Dress (1995)",1,"Mystery"
138,"Devil in a Blue Dress (1995)",1,"Thriller"
139,"Die Hard: With a Vengeance (1995)",1,"Action"
139,"Die Hard: With a Vengeance (1995)",1,"Crime"
139,"Die Hard: With a Vengeance (1995)",1,"Thriller"
140,"Doom Generation, The (1995)",1,"Comedy"
140,"Doom Generation, The (1995)",1,"Crime"
140,"Doom Generation, The (1995)",1,"Drama"
141,"First Knight (1995)",1,"Action"
141,"First Knight (1995)",1,"Drama"
141,"First Knight (1995)",1,"Romance"
142,"Free Willy 2: The Adventure Home (1995)",1,"Adventure"
142,"Free Willy 2: The Adventure Home (1995)",1,"Children"
142,"Free Willy 2: The Adventure Home (1995)",1,"Drama"
143,"Hackers (1995)",1,"Action"
143,"Hackers (1995)",1,"Adventure"
143,"Hackers (1995)",1,"Crime"
143,"Hackers (1995)",1,"Thriller"
144,"Jeffrey (1995)",1,"Comedy"
144,"Jeffrey (1995)",1,"Drama"
145,"Johnny Mnemonic (1995)",1,"Action"
145,"Johnny Mnemonic (1995)",1,"Sci-Fi"
145,"Johnny Mnemonic (1995)",1,"Thriller"
146,"Judge Dredd (1995)",1,"Action"
146,"Judge Dredd (1995)",1,"Crime"
146,"Judge Dredd (1995)",1,"Sci-Fi"
147,"Jury Duty (1995)",1,"Comedy"
148,"Kids (1995)",1,"Drama"
149,"Living in Oblivion (1995)",1,"Comedy"
150,"Lord of Illusions (1995)",1,"Horror"
151,"Love & Human Remains (1993)",1,"Comedy"
151,"Love & Human Remains (1993)",1,"Drama"
152,"Mad Love (1995)",1,"Drama"
152,"Mad Love (1995)",1,"Romance"
153,"Mallrats (1995)",1,"Comedy"
153,"Mallrats (1995)",1,"Romance"
154,"Mighty Morphin Power Rangers: The Movie (1995)",1,"Action"
154,"Mighty Morphin Power Rangers: The Movie (1995)",1,"Children"
155,"Mute Witness (1994)",1,"Comedy"
155,"Mute Witness (1994)",1,"Horror"
155,"Mute Witness (1994)",1,"Thriller"
156,"Nadja (1994)",1,"Drama"
157,"Net, The (1995)",1,"Action"
157,"Net, The (1995)",1,"Crime"
157,"Net, The (1995)",1,"Thriller"
158,"Nine Months (1995)",1,"Comedy"
158,"Nine Months (1995)",1,"Romance"
159,"Party Girl (1995)",1,"Comedy"
160,"Prophecy, The (1995)",1,"Fantasy"
160,"Prophecy, The (1995)",1,"Horror"
160,"Prophecy, The (1995)",1,"Mystery"
161,"Reckless (1995)",1,"Comedy"
161,"Reckless (1995)",1,"Fantasy"
162,"Safe (1995)",1,"Thriller"
163,"Scarlet Letter, The (1995)",1,"Drama"
163,"Scarlet Letter, The (1995)",1,"Romance"
164,"Showgirls (1995)",1,"Drama"
165,"Smoke (1995)",1,"Comedy"
165,"Smoke (1995)",1,"Drama"
166,"Something to Talk About (1995)",1,"Comedy"
166,"Something to Talk About (1995)",1,"Drama"
166,"Something to Talk About (1995)",1,"Romance"
167,"Species (1995)",1,"Horror"
167,"Species (1995)",1,"Sci-Fi"
168,"Strange Days (1995)",1,"Action"
168,"Strange Days (1995)",1,"Crime"
168,"Strange Days (1995)",1,"Drama"
168,"Strange Days (1995)",1,"Mystery"
168,"Strange Days (1995)",1,"Sci-Fi"
168,"Strange Days (1995)",1,"Thriller"
169,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",1,"Drama"
169,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",1,"Musical"
169,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",1,"Romance"
170,"Three Wishes (1995)",1,"Drama"
170,"Three Wishes (1995)",1,"Fantasy"
171,"Total Eclipse (1995)",1,"Drama"
171,"Total Eclipse (1995)",1,"Romance"
172,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1,"Comedy"
173,"Under Siege 2: Dark Territory (1995)",1,"Action"
174,"Unstrung Heroes (1995)",1,"Comedy"
174,"Unstrung Heroes (1995)",1,"Drama"
175,"Unzipped (1995)",1,"Documentary"
176,"Walk in the Clouds, A (1995)",1,"Drama"
176,"Walk in the Clouds, A (1995)",1,"Romance"
177,"Waterworld (1995)",1,"Action"
177,"Waterworld (1995)",1,"Adventure"
177,"Waterworld (1995)",1,"Sci-Fi"
178,"White Man's Burden (1995)",1,"Drama"
179,"Wild Bill (1995)",1,"Western"
180,"Browning Version, The (1994)",1,"Drama"
181,"Bushwhacked (1995)",1,"Adventure"
181,"Bushwhacked (1995)",1,"Comedy"
181,"Bushwhacked (1995)",1,"Crime"
181,"Bushwhacked (1995)",1,"Mystery"
182,"Burnt by the Sun (Utomlyonnye solntsem) (1994)",1,"Drama"
183,"Before the Rain (Pred dozhdot) (1994)",1,"Drama"
183,"Before the Rain (Pred dozhdot) (1994)",1,"War"
184,"Before Sunrise (1995)",1,"Drama"
184,"Before Sunrise (1995)",1,"Romance"
185,"Billy Madison (1995)",1,"Comedy"
186,"Babysitter, The (1995)",1,"Drama"
186,"Babysitter, The (1995)",1,"Thriller"
187,"Boys on the Side (1995)",1,"Comedy"
187,"Boys on the Side (1995)",1,"Drama"
188,"Cure, The (1995)",1,"Drama"
189,"Castle Freak (1995)",1,"Horror"
190,"Circle of Friends (1995)",1,"Drama"
190,"Circle of Friends (1995)",1,"Romance"
191,"Clerks (1994)",1,"Comedy"
192,"Don Juan DeMarco (1995)",1,"Comedy"
192,"Don Juan DeMarco (1995)",1,"Drama"
192,"Don Juan DeMarco (1995)",1,"Romance"
193,"Disclosure (1994)",1,"Drama"
193,"Disclosure (1994)",1,"Thriller"
194,"Drop Zone (1994)",1,"Action"
194,"Drop Zone (1994)",1,"Thriller"
195,"Destiny Turns on the Radio (1995)",1,"Comedy"
196,"Death and the Maiden (1994)",1,"Drama"
196,"Death and the Maiden (1994)",1,"Thriller"
197,"Dolores Claiborne (1995)",1,"Drama"
197,"Dolores Claiborne (1995)",1,"Thriller"
198,"Dumb & Dumber (Dumb and Dumber) (1994)",1,"Adventure"
198,"Dumb & Dumber (Dumb and Dumber) (1994)",1,"Comedy"
199,"Eat Drink Man Woman (Yin shi nan nu) (1994)",1,"Comedy"
199,"Eat Drink Man Woman (Yin shi nan nu) (1994)",1,"Drama"
199,"Eat Drink Man Woman (Yin shi nan nu) (1994)",1,"Romance"
200,"Exotica (1994)",1,"Drama"
201,"Exit to Eden (1994)",1,"Comedy"
202,"Ed Wood (1994)",1,"Comedy"
202,"Ed Wood (1994)",1,"Drama"
203,"French Kiss (1995)",1,"Action"
203,"French Kiss (1995)",1,"Comedy"
203,"French Kiss (1995)",1,"Romance"
204,"Forget Paris (1995)",1,"Comedy"
204,"Forget Paris (1995)",1,"Romance"
205,"Far From Home: The Adventures of Yellow Dog (1995)",1,"Adventure"
205,"Far From Home: The Adventures of Yellow Dog (1995)",1,"Children"
206,"Goofy Movie, A (1995)",1,"Animation"
206,"Goofy Movie, A (1995)",1,"Children"
206,"Goofy Movie, A (1995)",1,"Comedy"
206,"Goofy Movie, A (1995)",1,"Romance"
207,"Hideaway (1995)",1,"Thriller"
208,"Fluke (1995)",1,"Children"
208,"Fluke (1995)",1,"Drama"
209,"Farinelli: il castrato (1994)",1,"Drama"
209,"Farinelli: il castrato (1994)",1,"Musical"
210,"Gordy (1995)",1,"Children"
210,"Gordy (1995)",1,"Comedy"
210,"Gordy (1995)",1,"Fantasy"
211,"Hoop Dreams (1994)",1,"Documentary"
212,"Heavenly Creatures (1994)",1,"Crime"
212,"Heavenly Creatures (1994)",1,"Drama"
213,"Houseguest (1994)",1,"Comedy"
214,"Immortal Beloved (1994)",1,"Drama"
214,"Immortal Beloved (1994)",1,"Romance"
215,"Heavyweights (Heavy Weights) (1995)",1,"Children"
215,"Heavyweights (Heavy Weights) (1995)",1,"Comedy"
216,"Hunted, The (1995)",1,"Action"
217,"I.Q. (1994)",1,"Comedy"
217,"I.Q. (1994)",1,"Romance"
218,"Interview with the Vampire: The Vampire Chronicles (1994)",1,"Drama"
218,"Interview with the Vampire: The Vampire Chronicles (1994)",1,"Horror"
219,"Jefferson in Paris (1995)",1,"Drama"
220,"Jerky Boys, The (1995)",1,"Comedy"
221,"Junior (1994)",1,"Comedy"
221,"Junior (1994)",1,"Sci-Fi"
222,"Just Cause (1995)",1,"Mystery"
222,"Just Cause (1995)",1,"Thriller"
223,"Kid in King Arthur's Court, A (1995)",1,"Adventure"
223,"Kid in King Arthur's Court, A (1995)",1,"Children"
223,"Kid in King Arthur's Court, A (1995)",1,"Comedy"
223,"Kid in King Arthur's Court, A (1995)",1,"Fantasy"
223,"Kid in King Arthur's Court, A (1995)",1,"Romance"
224,"Kiss of Death (1995)",1,"Crime"
224,"Kiss of Death (1995)",1,"Drama"
224,"Kiss of Death (1995)",1,"Thriller"
225,"Star Wars: Episode IV - A New Hope (1977)",1,"Action"
225,"Star Wars: Episode IV - A New Hope (1977)",1,"Adventure"
225,"Star Wars: Episode IV - A New Hope (1977)",1,"Sci-Fi"
226,"Little Women (1994)",1,"Drama"
227,"Little Princess, A (1995)",1,"Children"
227,"Little Princess, A (1995)",1,"Drama"
228,"Ladybird Ladybird (1994)",1,"Drama"
229,"Like Water for Chocolate (Como agua para chocolate) (1992)",1,"Drama"
229,"Like Water for Chocolate (Como agua para chocolate) (1992)",1,"Fantasy"
229,"Like Water for Chocolate (Como agua para chocolate) (1992)",1,"Romance"
230,"Legends of the Fall (1994)",1,"Drama"
230,"Legends of the Fall (1994)",1,"Romance"
230,"Legends of the Fall (1994)",1,"War"
230,"Legends of the Fall (1994)",1,"Western"
231,"Major Payne (1995)",1,"Comedy"
232,"My Crazy Life (Mi vida loca) (1993)",1,"Drama"
233,"Love Affair (1994)",1,"Drama"
233,"Love Affair (1994)",1,"Romance"
234,"Losing Isaiah (1995)",1,"Drama"
235,"Madness of King George, The (1994)",1,"Comedy"
235,"Madness of King George, The (1994)",1,"Drama"
236,"Mary Shelley's Frankenstein (Frankenstein) (1994)",1,"Drama"
236,"Mary Shelley's Frankenstein (Frankenstein) (1994)",1,"Horror"
236,"Mary Shelley's Frankenstein (Frankenstein) (1994)",1,"Sci-Fi"
237,"Man of the House (1995)",1,"Comedy"
238,"Mixed Nuts (1994)",1,"Comedy"
239,"Milk Money (1994)",1,"Comedy"
239,"Milk Money (1994)",1,"Romance"
240,"Miracle on 34th Street (1994)",1,"Drama"
241,"Miami Rhapsody (1995)",1,"Comedy"
242,"My Family (1995)",1,"Drama"
243,"Murder in the First (1995)",1,"Drama"
243,"Murder in the First (1995)",1,"Thriller"
244,"Nobody's Fool (1994)",1,"Comedy"
244,"Nobody's Fool (1994)",1,"Drama"
244,"Nobody's Fool (1994)",1,"Romance"
245,"Nell (1994)",1,"Drama"
246,"New Jersey Drive (1995)",1,"Crime"
246,"New Jersey Drive (1995)",1,"Drama"
247,"New York Cop (Nyû Yôku no koppu) (1993)",1,"Action"
247,"New York Cop (Nyû Yôku no koppu) (1993)",1,"Crime"
248,"Beyond Bedlam (1993)",1,"Drama"
248,"Beyond Bedlam (1993)",1,"Horror"
249,"Nina Takes a Lover (1994)",1,"Comedy"
249,"Nina Takes a Lover (1994)",1,"Romance"
250,"Natural Born Killers (1994)",1,"Action"
250,"Natural Born Killers (1994)",1,"Crime"
250,"Natural Born Killers (1994)",1,"Thriller"
251,"Only You (1994)",1,"Comedy"
251,"Only You (1994)",1,"Romance"
252,"Once Were Warriors (1994)",1,"Crime"
252,"Once Were Warriors (1994)",1,"Drama"
253,"Poison Ivy II (1996)",1,"Drama"
253,"Poison Ivy II (1996)",1,"Thriller"
254,"Outbreak (1995)",1,"Action"
254,"Outbreak (1995)",1,"Drama"
254,"Outbreak (1995)",1,"Sci-Fi"
254,"Outbreak (1995)",1,"Thriller"
255,"Léon: The Professional (a.k.a. The Professional) (Léon) (1994)",1,"Action"
255,"Léon: The Professional (a.k.a. The Professional) (Léon) (1994)",1,"Crime"
255,"Léon: The Professional (a.k.a. The Professional) (Léon) (1994)",1,"Drama"
255,"Léon: The Professional (a.k.a. The Professional) (Léon) (1994)",1,"Thriller"
256,"Perez Family, The (1995)",1,"Comedy"
256,"Perez Family, The (1995)",1,"Romance"
257,"Pyromaniac's Love Story, A (1995)",1,"Comedy"
257,"Pyromaniac's Love Story, A (1995)",1,"Romance"
258,"Pulp Fiction (1994)",1,"Comedy"
258,"Pulp Fiction (1994)",1,"Crime"
258,"Pulp Fiction (1994)",1,"Drama"
